kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_abs,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,6f2fbd84283a7177,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_acos,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,85bb3f1c3c6b8549,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_acosh,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ed8691f0d04228f3,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_adaptive_avg_pool2d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=32_H=256_W=256_OH=128_OW=128,f32,1a91e610dab8183b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_adaptive_avg_pool3d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_C=3_D=8_H=8_W=8,f32,b3c8e383067677ef,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_add,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=11_C=46_H=92_W=92,f32,3f848f6bbc668548,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_add_clamp,1,WHOLE_AND_EXACT_REGION,EXACT_MATERIALIZED_COMPOSITION,N=4194304,f32,e6061ef1e74be3cd,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_addcdiv,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,edb482d5b31abdc6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_addcmul,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,28105c017f81cc7d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_addmm,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=512_N=512_K=512,f64,ffd39b2736a01291,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_allany_dims_cpu,1,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,R=131072_C=64,i32,35a61ce54804f951,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_and_reduce_cpu,1,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,R=131072_K=64,i32,0926a61c1f3908b6,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_angle_complex_scalarized,1,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,dea8f1b7b7cfa157,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
