kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_copy_tensor_array_cpu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=512_N=8192,f32,763d2776dbad0967,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cos,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bb94742dcdc246da,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cosh,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d7e37dcedb3b0e48,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_count_nonzero_impl_cpu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_C=64,f32,c958ea502e1138a8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cpu_blas_gemm_batched_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=52_K=311_M=208_N=259,f32,57f08d687ae9d16b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_cpu_blas_gemm_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,K=2290_M=1374_N=1832,f32,acf1ac1e761ae7e6,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_cpu_blas_gemm_strided_batched_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=52_K=311_M=208_N=259,f32,eb3e1fa75831476a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_cross,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=1398101,f32,b42870c4d04b959c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cross_cpu_backend,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,V=1398101,f32,9291ba8d1ebe364f,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_cumprod_cpu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,K=2897_R=1448,f32,8c78205482ac384d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_diff_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=16777216,f32,58729da87b52269a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_div,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,3a958dcfd03cdc81,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_dot,3,EXACT_EXTRACTED_REGION,EXACT_ATEN_OPERATION,N=4194304,f64,8c6fe94db11fec1a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_dropout_feature_noise_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=32_C=64_H=64_W=64,f32,bdd5f8a7dcb35084,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_elu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d81584f45f031a1c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_elu_backward,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,905088a00ae3d786,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_erf,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,0dd4b2733f8227cd,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_erfc,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,93a3de32a1e78949,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_exp,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,5b828abb80778add,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_exp2,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,a512ae97ce832704,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_expm1,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,b76cfa17275d9f7a,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_flatten_nd_linear_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=80_K=322_M=161_N=241,f32,0b73d0504d7a7d38,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_floor,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ee994c992feabd3f,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_fmax,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,01b6a5c5d48be296,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_fmin,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,cae427b65388ace8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
